"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"ANP32E",-2.96342219282516,-24.7882435475468,3.3669182028854e-13,8.2713308452387e-12,"HGNC:16673","ANP32E",81611,81611,TRUE
"NCLN",-1.99450059616786,-24.7164070428116,3.50718173510647e-13,8.5663921690819e-12,"HGNC:26923","NCLN",56926,56926,TRUE
"PABPC4",-2.07467270009572,-24.6217001378603,3.70171303568894e-13,8.91803847515201e-12,"HGNC:8557","PABPC4",8761,8761,TRUE
"COPZ1",-1.92532728593411,-24.5059872819141,3.95516459763093e-13,9.35654355143057e-12,"HGNC:2243","COPZ1",22818,22818,TRUE
"GOLGA2",-1.5655053608964,-24.5052336238137,3.95687488130049e-13,9.35654355143057e-12,"HGNC:4425","GOLGA2",2801,2801,TRUE
"ATXN2",-1.27611997055722,-24.502637919235,3.96277138648824e-13,9.35654355143057e-12,"HGNC:10555","ATXN2",6311,6311,TRUE
"RPL13",-3.12786997120732,-24.4907569757781,3.98988064453118e-13,9.36850427583288e-12,"HGNC:10303","RPL13",6137,6137,TRUE
"USO1",-1.47516340588222,-24.3922280193722,4.2224804807461e-13,9.86018793580821e-12,"HGNC:30904","USO1",8615,8615,TRUE
"EIF3B",-1.97885245190913,-24.3451207798229,4.33876711448606e-13,1.00763717139704e-11,"HGNC:3280","EIF3B",8662,8662,TRUE
"RPS11",-3.23235713438323,-24.2059539264699,4.70273532570619e-13,1.08035811536494e-11,"HGNC:10384","RPS11",6205,6205,TRUE
"WASHC4",-1.98008835779021,-24.0804897436914,5.05888923294864e-13,1.15592899139956e-11,"HGNC:29174","WASHC4",23325,23325,TRUE
"GGH",-1.8009186610688,-24.0400848807092,5.1796331931677e-13,1.17718936208357e-11,"HGNC:4248","GGH",8836,8836,TRUE
"PLBD2",-1.72902598999439,-24.0040685740282,5.28985872119724e-13,1.19483258853065e-11,"HGNC:27283","PLBD2",196463,196463,TRUE
"RPS8",-3.16820281124206,-23.9964511228423,5.31349080546571e-13,1.19483258853065e-11,"HGNC:10441","RPS8",6202,6202,TRUE
"RPS18",-3.20887118067247,-23.8941021904685,5.64218591196618e-13,1.26206790136086e-11,"HGNC:10401","RPS18",6222,6222,TRUE
"DDX6",-1.84722394073301,-23.872836682731,5.71316690574731e-13,1.27125441620032e-11,"HGNC:2747","DDX6",1656,1656,TRUE
"TXNDC5",-1.5604832171921,-23.8115681268695,5.92305629046775e-13,1.31109318929625e-11,"HGNC:21073","TXNDC5",81567,81567,TRUE
"FAM3C",-1.92246024745476,-23.6916089079731,6.35822835039644e-13,1.40012800462098e-11,"HGNC:18664","FAM3C",10447,10447,TRUE
"SAE1",-3.45216746542653,-23.6827216319249,6.39179962937319e-13,1.40026538272351e-11,"HGNC:30660","SAE1",10055,10055,TRUE
"CBX3",-2.72275580618221,-23.665407204505,6.45774894463163e-13,1.40745810331715e-11,"HGNC:1553","CBX3",11335,11335,TRUE
"SEC23IP",-1.49567054241729,-23.6436789522414,6.54154005306895e-13,1.41844618497669e-11,"HGNC:17018","SEC23IP",11196,11196,TRUE
"SRP54",-1.6337928339862,-23.6181233650853,6.64157900430277e-13,1.43282795778105e-11,"HGNC:11301","SRP54",6729,6729,TRUE
"SNRPC",-2.3871584791971,-23.5701759853873,6.83370718097059e-13,1.46683108682449e-11,"HGNC:11157","SNRPC",6631,6631,TRUE
